rate,horizon,n_participants
3.875,2025,6
3.375,2025,1
3.625,2025,12
2.625,2026,1
2.875,2026,2
3.125,2026,4
3.375,2026,4
2.125,2026,1
3.625,2026,4
3.875,2026,3
3.625,2027,2
3.875,2027,2
2.625,2027,2
3.375,2027,3
2.875,2027,3
2.375,2027,1
3.125,2027,6
2.75,2028,1
3.125,2028,6
2.875,2028,3
3.375,2028,2
2.625,2028,3
3.625,2028,2
3.875,2028,2
2.625,Longer Run,3
2.75,Longer Run,1
3.125,Longer Run,2
3.0,Longer Run,5
3.375,Longer Run,2
3.875,Longer Run,1
3.75,Longer Run,1
3.5,Longer Run,1
3.625,Longer Run,1
2.875,Longer Run,1
3.25,Longer Run,1
