variable,horizon,value,series_id
Core PCE Inflation,2025,3.0,JCXFEMD
Core PCE Inflation,2026,2.5,JCXFEMD
Core PCE Inflation,2027,2.1,JCXFEMD
Core PCE Inflation,2028,2.0,JCXFEMD
Federal Funds Rate,2025,3.6,FEDTARMD
Federal Funds Rate,2026,3.4,FEDTARMD
Federal Funds Rate,2027,3.1,FEDTARMD
Federal Funds Rate,2028,3.1,FEDTARMD
Federal Funds Rate,Longer Run,3.0,FEDTARMDLR
PCE Inflation,2025,2.9,PCECTPIMD
PCE Inflation,2026,2.4,PCECTPIMD
PCE Inflation,2027,2.1,PCECTPIMD
PCE Inflation,2028,2.0,PCECTPIMD
PCE Inflation,Longer Run,2.0,PCECTPIMDLR
Real GDP Growth,2025,1.7,GDPC1MD
Real GDP Growth,2026,2.3,GDPC1MD
Real GDP Growth,2027,2.0,GDPC1MD
Real GDP Growth,2028,1.9,GDPC1MD
Real GDP Growth,Longer Run,1.8,GDPC1MDLR
Unemployment Rate,2025,4.5,UNRATEMD
Unemployment Rate,2026,4.4,UNRATEMD
Unemployment Rate,2027,4.2,UNRATEMD
Unemployment Rate,2028,4.2,UNRATEMD
Unemployment Rate,Longer Run,4.2,UNRATEMDLR
